PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,7.29,2.83,0.65,0.32,193,58.0,79.0,d,e/u,d,e/u,"1321.31, 169.69","4434.23, 442.63",78.0,11.7797539,0.0,0.0981446,0,0.0256
0,6.21,3.04,0.68,0.27,687,43.0,77.0,d,e/u,d,e/u,"169.43, 713.47","3733.34, 215.79",94.0,11.34362422,0.0,0.0981446,0,0.9323
2,5.64,4.07,0.54,0.17,171,34.0,57.0,d,e/u,d,e/u,"394.58, 226.31","2083.46, 212.93",83.0,12.37085047,0.0,0.0981446,0,0.0126
1,6.29,2.76,0.79,0.16,168,65.0,57.0,d,e/u,d,e/u,"296.82, 143.14","1497.72, 198.08",31.0,11.47594115,0.0,0.0981446,0,0.0794
0,7.01,4.45,0.66,0.36,330,76.0,75.0,d,e/u,d,e/u,"801.43, 728.17","364.20, 741.87",35.0,11.71598751,0.0,0.0981446,0,0.0
0,5.89,3.2,0.5,0.18,199,65.0,68.0,d,e/u,d,e/u,"3059.04, 338.15","2547.95, 572.69",70.0,11.11415792,0.0,0.0981446,0,0.0
0,7.41,3.84,0.78,0.14,518,86.0,72.0,d,e/u,d,e/u,"3669.82, 251.12","3541.71, 676.44",42.0,11.68937762,0.116908,0.216676,0,0.0467
5,5.45,3.84,0.55,0.15,231,51.0,55.0,d,e/u,d,e/u,"2744.03, 193.75","2937.77, 196.40",38.0,11.11744756,1.0,1.0,1,0.0
0,5.15,4.13,0.79,0.11,165,51.0,52.0,d,e/u,d,e/u,"367.53, 177.39","2229.06, 294.91",54.0,12.21932573,0.0,0.0981446,0,0.0186
0,6.23,3.65,0.64,0.17,219,38.0,98.0,d,e/u,d,e/u,"206.72, 194.35","1495.42, 387.52",33.0,12.10530374,0.0,0.0981446,0,0.038
0,6.25,2.45,0.64,0.17,1,91.0,31.0,d,e/u,d,e/u,"310.72, 131.25","618.66, 271.69",45.0,12.12544273,0.0,0.0981446,0,0.0284
1,6.13,4.36,0.74,0.24,166,36.0,56.0,d,e/u,d,e/u,"402.89, 183.86","3785.30, 270.22",89.0,11.09418635,0.0,0.0981446,0,0.7106
1,6.42,3.7,0.53,0.38,389,83.0,32.0,d,e/u,d,e/u,"110.69, 488.87","519.32, 262.95",83.0,11.13677176,0.0,0.0981446,0,0.1557
0,7.474646443,2.185449915,0.5745216286,0.246769788,396,63.10435456,59.08544908,d,e/u,d,e/u,"3537.60, 727.65","3282.57, 257.79",36.27957971,11.50808178,0.166278,0.265971,0,0.0428
0,6.55,3.49,0.51,0.38,156,77.0,95.0,d,e/u,d,e/u,"302.06, 149.91","3537.83, 710.51",45.0,12.0804672,0.0,0.0981446,0,0.3947
0,7.05,2.13,0.64,0.29,466,98.0,67.0,d,e/u,d,e/u,"3922.46, 260.71","1380.68, 415.80",82.0,11.65040445,0.746704,0.846449,1,0.1188
0,7.05,2.12,0.74,0.33,372,75.0,35.0,d,e/u,d,e/u,"3138.20, 228.91","1217.09, 746.95",32.0,12.19614013,0.0,0.0981446,0,0.0
1,6.13,4.27,0.73,0.26,305,86.0,67.0,d,e/u,d,e/u,"106.39, 414.63","1398.98, 761.93",91.0,11.61138789,0.379491,0.479453,0,0.2688
1,6.82,3.14,0.74,0.26,240,82.0,21.0,d,e/u,d,e/u,"626.46, 192.20","1562.56, 221.38",72.0,11.54908043,0.893009,0.992099,1,0.0358
0,5.18,3.3,0.77,0.21,427,64.0,79.0,d,e/u,d,e/u,"1867.55, 234.08","2356.35, 560.55",83.0,11.92814216,0.204953,0.304718,0,0.8049
0,6.36,3.68,0.5,0.15,91,42.0,98.0,d,e/u,d,e/u,"2152.64, 163.55","2412.61, 597.02",70.0,11.74705359,0.0,0.0981446,0,0.9013
0,7.12,3.59,0.53,0.11,143,38.0,79.0,d,e/u,d,e/u,"2247.97, 177.36","176.55, 363.53",76.0,11.11046584,0.0,0.0981446,0,0.0
5,6.63,2.32,0.64,0.35,201,56.0,44.0,d,e/u,d,e/u,"2760.60, 194.51","2840.80, 201.48",84.0,11.13855839,1.0,1.0,1,0.0
